,Movie Name,Genre
25, DC League of Super-Pets (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm2972864/"">Jared Stern</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm0505946/"">Sam Levine</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8912936"">
</a>
</span>]"
26, John Wick: Chapter 4 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0821432/"">Chad Stahelski</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10366206"">
</a>
</span>]"
27, Where the Crawdads Sing (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm3229507/"">Olivia Newman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9411972"">
</a>
</span>]"
28, Naya Legend of the Golden Dolphin (2023),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span>
<a href=""/name/nm0443088/"">Jonathon Kay</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7890826"">
</a>
</span>]"
29, The Man from Toronto (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0400850/"">Patrick Hughes</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11671006"">
</a>
</span>]"
30, Dark Harvest (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm1720541/"">David Slade</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9204328"">
</a>
</span>]"
31, Untitled George Foreman Project (2023),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Sport</span>, <span>
<a href=""/name/nm0863387/"">George Tillman Jr.</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12226632"">
</a>
</span>]"
32, Puss in Boots: The Last Wish (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm3150455/"">Joel Crawford</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm2591093/"">Januel Mercado</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt3915174"">
</a>
</span>]"
33, Untitled David O. Russell (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>History</span>, <span>
<a href=""/name/nm0751102/"">David O. Russell</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10304142"">
</a>
</span>]"
34, She Said (2022),"[<span>Drama</span>, <span>
<a href=""/name/nm0775056/"">Maria Schrader</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14807308"">
</a>
</span>]"
35, Avatar 2 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0000116/"">James Cameron</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1630029"">
</a>
</span>]"
36, The Nightingale (2023),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>History</span>, <span class=""ghost"">|</span>, <span>War</span>, <span>
<a href=""/name/nm0491259/"">Mélanie Laurent</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt4540534"">
</a>
</span>]"
