,Movie Name,Genre
25, The Ghosts of Borley Rectory (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1953143/"">Steven M. Smith</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10503736"">
</a>
</span>]"
26, The Outfit (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span>
<a href=""/name/nm2441699/"">Graham Moore</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14114802"">
</a>
</span>]"
27, The Batman (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm0716257/"">Matt Reeves</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1877830"">
</a>
</span>]"
28, Turning Red (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm7626019/"">Domee Shi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8097030"">
</a>
</span>]"
29, Downton Abbey: A New Era (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0193508/"">Simon Curtis</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11703710"">
</a>
</span>]"
30, The Unbreakable Boy (2022),"[<span>Drama</span>, <span>
<a href=""/name/nm0348197/"">Jon Gunn</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5181260"">
</a>
</span>]"
31, The Lost City (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm1887480/"">Aaron Nee</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1519639/"">Adam Nee</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13320622"">
</a>
</span>]"
32, Sonic the Hedgehog 2 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1733778/"">Jeff Fowler</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12412888"">
</a>
</span>]"
33, Fantastic Beasts: The Secrets of Dumbledore (2022),"[<span>Adventure</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span>
<a href=""/name/nm0946734/"">David Yates</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt4123432"">
</a>
</span>]"
34, The Northman (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm3211470/"">Robert Eggers</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11138512"">
</a>
</span>]"
